,Coupon,Restauarant ID,Start Date,End Date,Orders with Discount,Discounted Orders Revenue ,Discount Spend,Average Order Value (Discounted Orders),New User Orders ,Returning User Orders,Dormant User Orders
89,TRYNEW,408.0,2022-09-26,2023-03-31,57.0,13093.3,5607.19,229.70701754385965,57.0,0.0,0.0
90,TRYNEW,180796.0,2022-09-26,2023-03-31,51.0,9052.65,5077.429999999999,177.50294117647059,51.0,0.0,0.0
91,TRYNEW,313834.0,2022-12-22,2023-03-31,51.0,13153.779999999999,4053.59,257.9172549019608,51.0,0.0,0.0
92,TRYNEW,570269.0,2022-12-22,2023-03-31,28.0,5142.55,2156.71,183.66249999999997,28.0,0.0,0.0
93,TRYNEW,570268.0,2022-10-04,2023-03-31,12.0,1252.5300000000002,1347.59,104.3775,12.0,0.0,0.0
94,SWIGGYIT,180801.0,2023-01-02,2023-03-31,852.0,259154.59192,29101.228079999993,304.17205624413145,1.0,851.0,0.0
95,SWIGGYIT,4780.0,2023-01-12,2023-05-31,672.0,235571.69397000002,24525.386029999998,350.55311602678574,0.0,672.0,8.0
96,SWIGGYIT,330114.0,2022-09-26,2023-03-31,223.0,54815.47199999999,13339.998000000001,245.80929147982062,0.0,223.0,0.0
97,SWIGGYIT,445384.0,2022-09-26,2023-03-31,163.0,35679.38,12683.62,218.89190184049087,0.0,163.0,0.0
98,SWIGGYIT,444423.0,2022-12-22,2023-03-31,69.0,9568.909999999998,8056.75,138.67985507246377,0.0,69.0,0.0
99,SWIGGYIT,408.0,2022-09-26,2023-03-31,78.0,19570.04,6118.86,250.89794871794874,0.0,78.0,0.0
100,SWIGGYIT,231392.0,2022-09-26,2023-03-31,91.0,25388.16999,4346.78001,278.990879010989,0.0,91.0,0.0
101,SWIGGYIT,600278.0,2023-02-03,2023-03-31,47.0,10737.310000000001,2525.9800000000005,228.45340425531913,0.0,47.0,0.0
102,SWIGGYIT,180796.0,2022-09-26,2023-03-31,17.0,3032.82,1357.6000000000001,178.40117647058824,0.0,17.0,0.0
103,SWIGGYIT,313834.0,2022-12-22,2023-03-31,9.0,1157.52,629.6,128.61333333333334,0.0,9.0,0.0
104,SWIGGYIT,570269.0,2022-12-22,2023-03-31,8.0,1358.14,604.39,169.7675,0.0,8.0,0.0
105,SWIGGYIT,570268.0,2022-10-04,2023-03-31,1.0,122.77000000000001,71.6,122.77000000000001,0.0,1.0,0.0
106,MISSEDYOU,4780.0,2023-01-12,2023-05-31,419.0,132170.164,22820.275999999998,315.4419188544153,0.0,419.0,325.0
107,MISSEDYOU,180801.0,2023-01-02,2023-03-31,237.0,70059.33398999998,8037.116009999999,295.6090041772151,0.0,237.0,189.0
108,MISSEDYOU,231392.0,2022-09-26,2023-03-31,71.0,15303.02,5728.68,215.5354929577465,0.0,71.0,63.0
109,MISSEDYOU,330114.0,2022-09-26,2023-03-31,54.0,11089.548,4657.512,205.36200000000002,0.0,54.0,30.0
110,MISSEDYOU,445384.0,2022-09-26,2023-03-31,39.0,7949.09,3822.4300000000003,203.8228205128205,0.0,39.0,28.0
111,MISSEDYOU,408.0,2022-09-26,2023-03-31,23.0,6589.839999999998,2282.96,286.51478260869567,0.0,23.0,15.0
112,MISSEDYOU,180796.0,2022-09-26,2023-03-31,6.0,1016.3999999999999,600.0,169.4,0.0,6.0,4.0
113,MISSEDYOU,600278.0,2023-02-03,2023-03-31,9.0,1519.31,503.04,168.8122222222222,0.0,9.0,4.0
114,MISSEDYOU,570268.0,2022-10-04,2023-03-31,2.0,167.34000000000003,196.2,83.67000000000002,0.0,2.0,1.0
115,MISSEDYOU,570269.0,2022-12-22,2023-03-31,1.0,144.74,79.2,144.74,0.0,1.0,0.0
116,SwiggyOne EO,4780.0,-,-,307.0,173814.19396500004,16780.17,566.1700129153096,101.0,206.0,57.0
117,SwiggyOne EO,180801.0,-,-,371.0,159552.84586,15068.710000000001,430.0615791374663,118.0,253.0,39.0
118,SwiggyOne EO,231392.0,-,-,38.0,19005.63999,1838.12,500.1484207894737,19.0,19.0,3.0
119,SwiggyOne EO,408.0,-,-,19.0,13808.25,1356.91,726.75,3.0,16.0,4.0
120,PARTY,445384.0,2022-09-26,2023-03-31,33.0,21623.11,4904.56,655.2457575757576,16.0,17.0,2.0
121,PARTY,408.0,2022-09-26,2023-03-31,27.0,20782.069999999996,4786.55,769.7062962962963,5.0,22.0,5.0
122,PARTY,313834.0,2022-12-22,2023-03-31,21.0,11758.43,3569.49,559.9252380952381,18.0,3.0,1.0
123,PARTY,330114.0,2022-09-26,2023-03-31,13.0,9680.18,2130.7799999999997,744.6292307692308,13.0,0.0,0.0
124,PARTY,231392.0,2022-09-26,2023-03-31,9.0,7426.52,1872.1100000000001,825.1688888888889,4.0,5.0,1.0
125,PARTY,180796.0,2022-09-26,2023-03-31,1.0,955.71,218.8,955.71,1.0,0.0,0.0
126,PARTY,570269.0,2022-12-22,2023-03-31,1.0,479.19000000000005,136.25,479.19000000000005,0.0,1.0,0.0
127,PARTY,570268.0,2022-10-04,2023-03-31,1.0,429.26,126.75,429.26,1.0,0.0,0.0
